| epoch   1 | 126000/237767 batches | lr 9.877903e-05 | ms/batch 120.84 | loss  4.20 
| epoch   1 | 127000/237767 batches | lr 9.876851e-05 | ms/batch 121.35 | loss  4.19 
| epoch   1 | 128000/237767 batches | lr 9.875798e-05 | ms/batch 120.61 | loss  4.20 
| epoch   1 | 129000/237767 batches | lr 9.874746e-05 | ms/batch 121.81 | loss  4.19 
| epoch   1 | 130000/237767 batches | lr 9.873693e-05 | ms/batch 120.51 | loss  4.19 
| epoch   1 | 131000/237767 batches | lr 9.872641e-05 | ms/batch 121.67 | loss  4.18 
| epoch   1 | 132000/237767 batches | lr 9.871588e-05 | ms/batch 120.67 | loss  4.20 
| epoch   1 | 133000/237767 batches | lr 9.870536e-05 | ms/batch 121.70 | loss  4.18 
| epoch   1 | 134000/237767 batches | lr 9.869483e-05 | ms/batch 120.85 | loss  4.17 
| epoch   1 | 135000/237767 batches | lr 9.868430e-05 | ms/batch 121.60 | loss  4.17 
| epoch   1 | 136000/237767 batches | lr 9.867378e-05 | ms/batch 120.94 | loss  4.17 
| epoch   1 | 137000/237767 batches | lr 9.866325e-05 | ms/batch 121.38 | loss  4.16 
| epoch   1 | 138000/237767 batches | lr 9.865273e-05 | ms/batch 121.24 | loss  4.16 
| epoch   1 | 139000/237767 batches | lr 9.864220e-05 | ms/batch 121.31 | loss  4.16 
| epoch   1 | 140000/237767 batches | lr 9.863168e-05 | ms/batch 121.34 | loss  4.16 
| epoch   1 | 141000/237767 batches | lr 9.862115e-05 | ms/batch 121.09 | loss  4.14 
| epoch   1 | 142000/237767 batches | lr 9.861063e-05 | ms/batch 121.44 | loss  4.15 
| epoch   1 | 143000/237767 batches | lr 9.860010e-05 | ms/batch 120.76 | loss  4.14 
| epoch   1 | 144000/237767 batches | lr 9.858957e-05 | ms/batch 121.82 | loss  4.14 
| epoch   1 | 145000/237767 batches | lr 9.857905e-05 | ms/batch 120.57 | loss  4.13 
| epoch   1 | 146000/237767 batches | lr 9.856852e-05 | ms/batch 121.82 | loss  4.13 
| epoch   1 | 147000/237767 batches | lr 9.855800e-05 | ms/batch 120.60 | loss  4.12 
| epoch   1 | 148000/237767 batches | lr 9.854747e-05 | ms/batch 121.68 | loss  4.13 
| epoch   1 | 149000/237767 batches | lr 9.853695e-05 | ms/batch 120.77 | loss  4.12 
| epoch   1 | 150000/237767 batches | lr 9.852642e-05 | ms/batch 121.55 | loss  4.12 
| epoch   1 | 151000/237767 batches | lr 9.851590e-05 | ms/batch 121.19 | loss  4.12 
| epoch   1 | 152000/237767 batches | lr 9.850537e-05 | ms/batch 121.34 | loss  4.11 
| epoch   1 | 153000/237767 batches | lr 9.849484e-05 | ms/batch 121.06 | loss  4.10 
| epoch   1 | 154000/237767 batches | lr 9.848432e-05 | ms/batch 121.29 | loss  4.11 
| epoch   1 | 155000/237767 batches | lr 9.847379e-05 | ms/batch 121.36 | loss  4.10 
| epoch   1 | 156000/237767 batches | lr 9.846327e-05 | ms/batch 122.58 | loss  4.11 
