| epoch   1 | 115000/297209 batches | lr 9.645521e-05 | ms/batch 119.96 | loss  4.24 
| epoch   1 | 116000/297209 batches | lr 9.642145e-05 | ms/batch 120.05 | loss  4.23 
| epoch   1 | 117000/297209 batches | lr 9.638769e-05 | ms/batch 119.88 | loss  4.25 
| epoch   1 | 118000/297209 batches | lr 9.635393e-05 | ms/batch 119.88 | loss  4.24 
| epoch   1 | 119000/297209 batches | lr 9.632017e-05 | ms/batch 119.99 | loss  4.23 
| epoch   1 | 120000/297209 batches | lr 9.628641e-05 | ms/batch 119.84 | loss  4.23 
| epoch   1 | 121000/297209 batches | lr 9.625265e-05 | ms/batch 120.16 | loss  4.22 
| epoch   1 | 122000/297209 batches | lr 9.621889e-05 | ms/batch 119.90 | loss  4.23 
| epoch   1 | 123000/297209 batches | lr 9.618513e-05 | ms/batch 120.07 | loss  4.21 
| epoch   1 | 124000/297209 batches | lr 9.615137e-05 | ms/batch 119.95 | loss  4.21 
| epoch   1 | 125000/297209 batches | lr 9.611761e-05 | ms/batch 119.94 | loss  4.21 
| epoch   1 | 126000/297209 batches | lr 9.608385e-05 | ms/batch 120.08 | loss  4.19 
| epoch   1 | 127000/297209 batches | lr 9.605009e-05 | ms/batch 119.84 | loss  4.19 
| epoch   1 | 128000/297209 batches | lr 9.601633e-05 | ms/batch 120.12 | loss  4.18 
| epoch   1 | 129000/297209 batches | lr 9.598257e-05 | ms/batch 120.05 | loss  4.18 
| epoch   1 | 130000/297209 batches | lr 9.594881e-05 | ms/batch 120.17 | loss  4.18 
| epoch   1 | 131000/297209 batches | lr 9.591505e-05 | ms/batch 120.08 | loss  4.18 
| epoch   1 | 132000/297209 batches | lr 9.588129e-05 | ms/batch 120.12 | loss  4.18 
| epoch   1 | 133000/297209 batches | lr 9.584753e-05 | ms/batch 120.03 | loss  4.17 
| epoch   1 | 134000/297209 batches | lr 9.581377e-05 | ms/batch 119.75 | loss  4.16 
| epoch   1 | 135000/297209 batches | lr 9.578001e-05 | ms/batch 120.08 | loss  4.17 
| epoch   1 | 136000/297209 batches | lr 9.574625e-05 | ms/batch 119.80 | loss  4.16 
| epoch   1 | 137000/297209 batches | lr 9.571249e-05 | ms/batch 120.03 | loss  4.16 
| epoch   1 | 138000/297209 batches | lr 9.567873e-05 | ms/batch 121.96 | loss  4.16 
| epoch   1 | 139000/297209 batches | lr 9.564497e-05 | ms/batch 119.84 | loss  4.16 
| epoch   1 | 140000/297209 batches | lr 9.561121e-05 | ms/batch 119.98 | loss  4.15 
| epoch   1 | 141000/297209 batches | lr 9.557745e-05 | ms/batch 119.87 | loss  4.15 
| epoch   1 | 142000/297209 batches | lr 9.554369e-05 | ms/batch 120.12 | loss  4.14 
| epoch   1 | 143000/297209 batches | lr 9.550993e-05 | ms/batch 119.76 | loss  4.15 
| epoch   1 | 144000/297209 batches | lr 9.547617e-05 | ms/batch 119.89 | loss  4.13 
| epoch   1 | 145000/297209 batches | lr 9.544241e-05 | ms/batch 120.02 | loss  4.13 
| epoch   1 | 146000/297209 batches | lr 9.540865e-05 | ms/batch 119.95 | loss  4.13 
| epoch   1 | 147000/297209 batches | lr 9.537489e-05 | ms/batch 120.10 | loss  4.12 
| epoch   1 | 148000/297209 batches | lr 9.534113e-05 | ms/batch 119.91 | loss  4.12 
| epoch   1 | 149000/297209 batches | lr 9.530737e-05 | ms/batch 120.05 | loss  4.12 
| epoch   1 | 150000/297209 batches | lr 9.527361e-05 | ms/batch 119.85 | loss  4.11 
| epoch   1 | 151000/297209 batches | lr 9.523985e-05 | ms/batch 119.94 | loss  4.11 
| epoch   1 | 152000/297209 batches | lr 9.520609e-05 | ms/batch 120.01 | loss  4.10 
| epoch   1 | 153000/297209 batches | lr 9.517233e-05 | ms/batch 119.85 | loss  4.10 
| epoch   1 | 154000/297209 batches | lr 9.513857e-05 | ms/batch 120.07 | loss  4.11 
| epoch   1 | 155000/297209 batches | lr 9.510481e-05 | ms/batch 119.84 | loss  4.10 
| epoch   1 | 156000/297209 batches | lr 9.507105e-05 | ms/batch 119.90 | loss  4.09 
| epoch   1 | 157000/297209 batches | lr 9.503729e-05 | ms/batch 119.90 | loss  4.09 
| epoch   1 | 158000/297209 batches | lr 9.500353e-05 | ms/batch 119.79 | loss  4.08 
| epoch   1 | 159000/297209 batches | lr 9.496977e-05 | ms/batch 120.04 | loss  4.09 
| epoch   1 | 160000/297209 batches | lr 9.493601e-05 | ms/batch 119.75 | loss  4.09 
| epoch   1 | 161000/297209 batches | lr 9.490225e-05 | ms/batch 120.19 | loss  4.08 
| epoch   1 | 162000/297209 batches | lr 9.486849e-05 | ms/batch 119.77 | loss  4.08 
| epoch   1 | 163000/297209 batches | lr 9.483473e-05 | ms/batch 119.93 | loss  4.07 
| epoch   1 | 164000/297209 batches | lr 9.480097e-05 | ms/batch 119.99 | loss  4.08 
| epoch   1 | 165000/297209 batches | lr 9.476721e-05 | ms/batch 119.86 | loss  4.07 
| epoch   1 | 166000/297209 batches | lr 9.473345e-05 | ms/batch 120.05 | loss  4.07 
| epoch   1 | 167000/297209 batches | lr 9.469969e-05 | ms/batch 119.83 | loss  4.06 
| epoch   1 | 168000/297209 batches | lr 9.466593e-05 | ms/batch 120.04 | loss  4.06 
| epoch   1 | 169000/297209 batches | lr 9.463217e-05 | ms/batch 119.90 | loss  4.05 
| epoch   1 | 170000/297209 batches | lr 9.459841e-05 | ms/batch 119.88 | loss  4.06 
| epoch   1 | 171000/297209 batches | lr 9.456465e-05 | ms/batch 120.03 | loss  4.05 
| epoch   1 | 172000/297209 batches | lr 9.453089e-05 | ms/batch 119.92 | loss  4.06 
| epoch   1 | 173000/297209 batches | lr 9.449713e-05 | ms/batch 120.21 | loss  4.05 
| epoch   1 | 174000/297209 batches | lr 9.446337e-05 | ms/batch 119.83 | loss  4.04 
| epoch   1 | 175000/297209 batches | lr 9.442961e-05 | ms/batch 119.98 | loss  4.05 
| epoch   1 | 176000/297209 batches | lr 9.439585e-05 | ms/batch 119.98 | loss  4.05 
| epoch   1 | 177000/297209 batches | lr 9.436209e-05 | ms/batch 120.03 | loss  4.04 
| epoch   1 | 178000/297209 batches | lr 9.432833e-05 | ms/batch 120.22 | loss  4.03 
| epoch   1 | 179000/297209 batches | lr 9.429457e-05 | ms/batch 120.08 | loss  4.03 
| epoch   1 | 180000/297209 batches | lr 9.426081e-05 | ms/batch 127.45 | loss  4.03 
| epoch   1 | 181000/297209 batches | lr 9.422705e-05 | ms/batch 127.24 | loss  4.03 
| epoch   1 | 182000/297209 batches | lr 9.419329e-05 | ms/batch 120.04 | loss  4.02 
| epoch   1 | 183000/297209 batches | lr 9.415953e-05 | ms/batch 120.01 | loss  4.02 
| epoch   1 | 184000/297209 batches | lr 9.412577e-05 | ms/batch 119.98 | loss  4.02 
| epoch   1 | 185000/297209 batches | lr 9.409201e-05 | ms/batch 120.08 | loss  4.01 
| epoch   1 | 186000/297209 batches | lr 9.405825e-05 | ms/batch 119.91 | loss  4.01 
| epoch   1 | 187000/297209 batches | lr 9.402449e-05 | ms/batch 120.12 | loss  4.01 
| epoch   1 | 188000/297209 batches | lr 9.399073e-05 | ms/batch 119.88 | loss  4.00 
| epoch   1 | 189000/297209 batches | lr 9.395697e-05 | ms/batch 119.96 | loss  4.00 
| epoch   1 | 190000/297209 batches | lr 9.392321e-05 | ms/batch 120.08 | loss  4.01 
| epoch   1 | 191000/297209 batches | lr 9.388945e-05 | ms/batch 119.87 | loss  4.00 
| epoch   1 | 192000/297209 batches | lr 9.385569e-05 | ms/batch 120.17 | loss  4.00 
| epoch   1 | 193000/297209 batches | lr 9.382193e-05 | ms/batch 119.88 | loss  3.99 
